WATER,TOWN,Y_coord,X_coord
TROUT POND,Mason Twp,44.370567209893316,-70.87429482347707
SUNDAY RIVER,Newry,44.490453237500304,-70.83885011644124
ELLIS R,Andover,44.61353974584134,-70.72052422732558
ELLIS R,Rumford,44.5231527121729,-70.67376742309298
ELLIS R (WEST BRANCH),Andover,44.611733357040826,-70.73309988765767
RICHARDSON POND (LOWER EAST),Adamstown Twp,44.9243901156452,-70.88710911481746
LONG L,Naples,43.974106234019175,-70.60545378212855
HALEY POND,Rangley,44.96799233409073,-70.63497104893673
SANDY RIVER,Strong,44.804014231432866,-70.24024901113418
KENNEBEC RIVER,ANDERSON,44.79397863856115,-69.88489829276614
SANDY RIVER,Norridgewock,44.75457036616069,-69.892907698862
SANDY RIVER,New Sharon,44.6364135937414,-70.01719243133441
CROWELL P,New Sharon,44.59167664836191,-70.03672195004138
PEMAQUID R,Bristol,43.91181696128102,-69.50706220150387
PEMAQUID P,Nboleboro,44.08407921758341,-69.46512529054606
WALDOBORO QUARRY P,Waldoboro,44.1149105479122,-69.38855557066546
SAINT GEORGE R,Searsmont,44.35645611309553,-69.18988034212933
SAINT GEORGE R,Warren,44.12232216890384,-69.24263620834746
SAINT GEORGE R,Union,44.228456528949295,-69.27929586528737
SAINT GEORGE R,Appleton,44.28744522652495,-69.24995664880144
GOOSE R,Camden,44.211082698147194,-69.12072020301204
MEGUNTICOOK R,Camden,44.21450172105819,-69.07625915068205
SOUADABSCOOK STREAM,Hampden,44.76368259885307,-68.87350017464497
CHANDLER B (EAST BRANCH),Pownal,43.89082809161523,-70.15040104423261
TOGUS VA HOSPITAL,Augusta,44.28130883793589,-69.70282384329866
COBBOSSEECONTEE L,Manchester,44.30032933059927,-69.89002450073741
COBBOSSEECONTEE L,Monmouth,44.25424205428169,-69.94572327898382
COBBOSSEECONTEE STREAM,Gardiner,44.220351237931276,-69.79067592460733
WILSON STREAM,Monmouth,44.26705811206979,-70.02019373306774
SEBAGO L,Raymond,43.88385982345409,-70.53988429728061
OSSIPEE R,Hiram,43.808696620772274,-70.84331903665728
COLD R,Stow,44.15782892741063,-70.97056451653876
WHITNEY B,Canton,44.447139774092804,-70.31023683303609
WILSON STREAM,Wilton,44.5902911355742,-70.21910267455189
OTTER POND #4,Standish,43.76344010635359,-70.505424199036
OTTER POND #2,Standish,43.761428513559984,-70.50740788637783
SACO R,Standish,43.73234720712602,-70.65293602526646
PISCATAQUA R,Falmouth,43.75182273650571,-70.29942618794348
PRESUMPSCOT R,Westbrook,43.67780883987993,-70.36648187420296
MILL B,Westbrook,43.725060684530845,-70.35199411821263
ALDEN'S P,Gorham,43.68225164153582,-70.45407311263993
OSSIPEE R (LITTLE),Limerick,43.65772838122113,-70.78077821064488
BROWN B,Limerick,43.69353745431442,-70.77614816073269
LEAVITT B,Limerick,43.708847714142614,-70.77118822394031
COOKS B,Dayton,43.56170056933495,-70.61835322385338
SOUTH R,Parsonsfield,43.78541514629868,-70.95902942503761
PENDEXTER B,Parsonsfield,43.71645270524591,-70.91293170731518
SACO R,Baldwin,43.84251944887719,-70.79337576175377
SACO R,Hiram,43.88947349816913,-70.8143936637728
LITTLE R,Gorham,43.712056024405555,-70.43077021380056
CLAYS P OUTLET,Fryeburg,43.97627077873464,-70.94864569703094
SACO R,Fryeburg,43.98486670984334,-70.9205172663267
WILD R,Gilead,44.38225347754317,-70.9859317362192
CONCORD R,Rumford,44.47521274757788,-70.63429187617537
SWIFT R,Roxbury,44.68441364069444,-70.60365904241884
TEMPLE STREAM,Farmington,44.66128665219522,-70.1580331081102
